building_number,latitude,longitude
1,37.460457,126.95229
2,37.460592,126.952909
3,37.460917,126.9536
4,37.461053,126.953307
5,37.460815,126.954031
6,37.460958,126.954614
7,37.460253,126.95438
8,37.460386,126.954105
9,37.460352,126.954941
10,37.460405,126.955652
10-1,37.460109,126.956179
11,37.459945,126.955411
12,37.459737,126.954836
13,37.459372,126.953982
14,37.461088,126.955165
15,37.462563,126.951608
16,37.46367,126.950649
16-1,37.462832,126.950751
17,37.463092,126.951719
18,37.456916,126.95275
19,37.456317,126.952755
20,37.458809,126.952869
21,37.457958,126.952158
22,37.458037,126.950778
23,37.458721,126.950901
24,37.459582,126.949638
25,37.458881,126.94969
25-1,37.459089,126.94905
26,37.458846,126.950202
27,37.458172,126.949765
28,37.457787,126.950063
29,37.456199,126.953741
30,37.456942,126.950676
30-2,37.457354,126.950582
31,37.457146,126.949734
31-1,37.457341,126.94962
32,37.456567,126.949844
32-1,37.456000,126.950000
33,37.456343,126.950378
34,37.456123,126.951404
35,37.456656,126.951974
36,37.45563,126.951312
37,37.455792,126.95055
38,37.454913,126.950401
39,37.454825,126.951326
40,37.454305,126.951474
41,37.455714,126.952562
42,37.45538,126.952417
43,37.457367,126.951532
43-1,37.456656,126.951228
44,37.454855,126.952001
44-1,37.455262,126.951974
45,37.454045,126.952732
46,37.457208,126.954418
47,37.452865,126.949909
48,37.454002,126.954306
48-1,37.454601,126.955506
49,37.463341,126.954114
50,37.463551,126.952312
51,37.463788,126.952632
52,37.463742,126.953157
53,37.463265,126.953475
54,37.462743,126.953425
55,37.462651,126.952869
56,37.45784,126.951243
57,37.465741,126.953141
57-1,37.465472,126.953656
58,37.465897,126.951918
59,37.465294,126.952886
60,37.460042,126.950993
61,37.459947,126.953763
62,37.459378,126.951948
62-1,37.459128,126.952223
63,37.459274,126.950407
64,37.464144,126.949006
65,37.457889,126.953939
66,37.456772,126.954176
67,37.463706,126.949397
68,37.466464,126.95506
69,37.457386,126.952667
70,37.464639,126.95214
71,37.467757,126.95222
71-1,37.466767,126.952716
71-2,37.468537,126.951447
72,37.462018,126.951912
73,37.461643,126.950852
74,37.462111,126.952972
75,37.456221,126.948742
75-1,37.456597,126.948205
76,37.460895,126.956095
80,37.468484,126.953175
80-1,37.468553,126.952654
81,37.467306,126.954373
82,37.462314,126.954263
83,37.46371,126.951478
84,37.46254,126.952122
85,37.467661,126.953508
86,37.46919,126.95292
97,37.466656,126.950414
98,37.466892,126.950458
100,37.458564,126.95563
101,37.463417,126.949859
102,37.459734,126.948932
103,37.462407,126.949958
104,37.454989,126.952978
104-1,37.45511,126.953461
105,37.454305,126.953566
109,37.461125,126.952497
111,37.459336,126.955384
113,37.465291,126.951456
122-A,37.467358,126.95751
122-B,37.46765,126.958011
122-C,37.467598,126.957333
122-D,37.467907,126.957838
122-E,37.468215,126.957568
122-F,37.468503,126.958042
122-G,37.468472,126.957322
122-H,37.46877,126.957838
122-I,37.468864,126.957391
125,37.468099,126.959396
125-1,37.46834,126.960398
125-2,37.467991,126.960763
126,37.46792,126.959946
127,37.467688,126.959269
129,37.45777,126.949207
130,37.454358,126.950702
131,37.453608,126.950575
132,37.454976,126.954074
133,37.454314,126.950186
135,37.454443,126.952088
137,37.467081,126.953322
137-1,37.466648,126.953267
137-2,37.466732,126.954127
138,37.455873,126.954907
139,37.455591,126.954259
139-1,37.455348,126.954409
140,37.464536,126.955053
141,37.455801,126.953816
142,37.456737,126.953781
143,37.458415,126.953018
144,37.464861,126.958048
150,37.46731,126.950088
151,37.46658,126.949509
152,37.466535,126.951152
152-1,37.46685,126.95108
153,37.466714,126.95205
200,37.457658,126.948116
201,37.456995,126.948091
203,37.458464,126.948091
220,37.464298,126.953915
221,37.465047,126.954704
222,37.464748,126.953242
300,37.451063,126.952763
301,37.449879,126.952498
302,37.448794,126.952569
310,37.44863,126.950841
311,37.448972,126.951643
312,37.450904,126.951663
313,37.451253,126.951746
314,37.451543,126.952149
316,37.447445,126.95024
330,37.449491,126.950016
331,37.449136,126.949884
500,37.459283,126.947809
900,37.461404,126.958236
901,37.461869,126.958067
902,37.461485,126.957604
903,37.461016,126.95793
904,37.460663,126.957867
905,37.461241,126.958703
906,37.462306,126.958507
907,37.465219,126.957814
908,37.46555,126.957422
909,37.465887,126.957769
918,37.460681,126.958771
919,37.46323,126.959216
920,37.464164,126.959555
921,37.463622,126.959428
922,37.463349,126.95979
923,37.46363,126.960047
924,37.463823,126.960047
925,37.464351,126.959048
926,37.464505,126.959502
931,37.467354,126.95912
932,37.467069,126.95912
935,37.46763,126.960177
936,37.467347,126.96038
940,37.466076,126.95994
941,37.466428,126.958748
941-1,37.466191,126.95916
942,37.466263,126.961657
943,37.46671,126.961321
944,37.466963,126.960714
945,37.465472,126.961331
946,37.465565,126.958876
950,37.464846,126.960246
