name,building,rest,study,meal,open_time
중앙도서관,62,3,5,0,
관정도서관,62,4,5,0,
학생회관,63,0,0,4,"11:00-14:30;17:00-19:00"
윗과방,301,5,3,0,
아랫과방,36,3,2,0,
56동,56,3,4,0,
500동1층,500,3,4,0,
투썸플레이스,500,3,3,3,
12동,12,3,4,2,
농생대1층,200,4,3,0,
신양학술정보관,16-1,3,4,0,
제3학생식당,75-1,3,2,5,"11:00-14:00;17:00-19:00"
공대간이식당,30-2,0,0,4,"11:00-14:30;15:30-18:30"
62-1동상가,62-1,0,0,4,
301동식당,301,0,0,4,"11:30-13:10"
예술계식당,74,0,0,4,"11:30-14:00;17:00-18:30"
자하연식당,109,0,0,4,"11:30-14:00"
220동식당,220,0,0,5,"09:30-19:00"
301동건물내부,301,3,3,0,
